Result,Keyword,Screening,Citation,Author,Year,Title,Journal,Vol,Nr,Pages
Water Practice & Technology 3:1 (2008) - Eddo J. Hoekstra - Towards an improved human exposure assessment for contaminants in drinking water released by products used for domestic water distribution,Consumer,Selected,Hoekstra 2008,Eddo J. Hoekstra,2008,Towards an improved human exposure assessment for contaminants in drinking water released by products used for domestic water distribution,Water Practice & Technology,3,1,
Water Supply 2:4 (2002) 129-136 - J. Hofman et al. - Fouling and accuracy drift of water meters,Customer,Selected,Hofman et al. 2002,J.A.M.H. Hofman,2002,Fouling and accuracy drift of water meters,Water Supply,2,4,129-136
Water Supply 4:5-6 (2005) 253-262 - J.A.M.H. Hofman et al. - Drinking water treatment in The Netherlands: outstanding and still ambitious,Customer,Selected,Hofman et al. 2005,J.A.M.H. Hofman,2005,Drinking water treatment in The Netherlands: outstanding and still ambitious,Water Supply,4,5-6,253-262
"Water Practice & Technology 3:1 (2008) - Karst Jan Hoogsteen, Gerard van der Kolff and Josien A. Ruijter - Public private partnership for efficient and sustainable water supply development in Indonesia",Customer,Selected,Hoogsteen et al. 2008,Karst Jan Hoogsteen and Gerard van der Kolff and Josien A. Ruijter,2008,Public private partnership for efficient and sustainable water supply development in Indonesia,Water Practice & Technology,3,1,
Water Supply 4:5-6 (2005) 409-414 - J.R. Howard et al. - WaterScope: an innovative water quality information management system,Customer,Selected,Howard et al. 2005,J.R. Howard,2005,WaterScope: an innovative water quality information management system,Water Supply,4,5-6,409-414
Water Supply 4:3 (2004) 33-44 - D. Howarth and S. Butler - Communicating water conservation: how can the public be engaged?,Customer,Selected,Howarth and Butler 2004,D. Howarth and S. Butler,2004,Communicating water conservation: how can the public be engaged?,Water Supply,4,3,33-44
Water Supply 4:3 (2004) 33-44 - D. Howarth and S. Butler - Communicating water conservation: how can the public be engaged?,Marketing,Selected,Howarth and Butler 2004,D. Howarth and S. Butler,2004,Communicating water conservation: how can the public be engaged?,Water Supply,4,3,33-44
Water Supply 18:1 (2000) 493-496 - J.P.B. Huberts et al. - Marketing water as a product serving customers,Customer,Selected,Huberts et al. 2000,J.P.B. Huberts,2000,Marketing water as a product serving customers,Water Supply,18,1,493-496
Water Supply 18:1 (2000) 493-496 - J.P.B. Huberts et al. - Marketing water as a product serving customers,Marketing,Selected,Huberts et al. 2000,J.P.B. Huberts,2000,Marketing water as a product serving customers,Water Supply,18,1,493-496
Water Science & Technology-WST 61:8 (2010) 2137-2142 - Anna Hurlimann and Sara Dolnicar - Acceptance of water alternatives in Australia - 2009,Marketing,Selected,Hurlimann and Dolnicar 2010,Anna Hurlimann and Sara Dolnicar,2010,Acceptance of water alternatives in Australia,Water Science & Technology-WST,61,8,2137-3124
"P.S. Husband, J.B. Boxall, Asset deterioration and discolouration in water distribution systems, Water Research, Volume 45, Issue 1, January 2011, Pages 113-124, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2010.08.021.",Customer,Selected,Husband and Boxall 2011,P.S. Husband and J.B. Boxall,2011,Asset deterioration and discolouration in water distribution systems,Water Research,45,1,113-124
Water Supply 18:1 (2000) 500-503 - R.J. Iacullo and F. Gradilone - Marketing water as a product serving customers,Customer,Selected,Iacullo and Gradilone 2000,R.J. Iacullo and F. Gradilone,2000,Marketing water as a product serving customers,Water Supply,18,1,500-503
Water Supply 18:1 (2000) 500-503 - R.J. Iacullo and F. Gradilone - Marketing water as a product serving customers,Marketing,Selected,Iacullo and Gradilone 2000,R.J. Iacullo and F. Gradilone,2000,Marketing water as a product serving customers,Water Supply,18,1,500-503
Water Science & Technology 20:8-9 (1988) 11-17 - T. Ito et al. - The Relationship between Concentration and Sensory Properties of 2-Methylisoborneol and Geosmin in Drinking Water,Consumer,Selected,Ito et al. 1988,T. Ito,1988,The Relationship between Concentration and Sensory Properties of 2-Methylisoborneol and Geosmin in Drinking Water,Water Science & Technology,20,8-9,11-17
"Water Science and Technology 40:6 (1999) 85-90 - G. Izaguirre et al. - Off-Flavor Problems in Two Reservoirs, Associated with Planktonic Pseudanabaena Species",Consumer,Selected,Izaguirre et al. 1999,G. Izaguirre,1999,"Off-Flavor Problems in Two Reservoirs, Associated with Planktonic Pseudanabaena Species",Water Science and Technology,40,6,85-90
Water Science & Technology: Water Supply 6:5 (2006) 101-110 - Y. Jaeger et al. - Evaluation of treatment methods to reduce the corrosivity of soft waters,Consumer,Selected,Jaeger et al. 2006,Y. Jaeger,2006,Evaluation of treatment methods to reduce the corrosivity of soft waters,Water Science & Technology: Water Supply,6,5,101-110
Water Supply 2:4 (2002) 181-187 - K. Johnson - Measuring up: do you have a scorecard?,Customer,Selected,Johnson 2002,K. Johnson,2002,Measuring up: do you have a scorecard?,Water Supply,2,4,181-187
Water Supply 3:5 (2003) 73-80 - W. Johnson and T. MacCormick - Issues of operational integrity in membrane drinking water plants,Consumer,Selected,Johnson and MacCormick 2003,W. Johnson and T. MacCormick,2003,Issues of operational integrity in membrane drinking water plants,Water Supply,3,5,73-80
Water Supply 5:2 (2005) 97-106 - K. Johnson and M.M. Mortada - Effective asset management maximizes your return on investment (ROI) and customer satisfaction,Customer,Selected,Johnson and Mortada 2005,K. Johnson and M.M. Mortada,2005,Effective asset management maximizes your return on investment (ROI) and customer satisfaction,Water Supply,5,2,97-106
Water Science & Technology 49:9 (2004) 289-295 - S.-W. Jung et al. - Treatment of taste and odor material by oxidation and adsorption,Consumer,Selected,Jung 2004,S.W. Jung,2004,Treatment of taste and odor material by oxidation and adsorption,Water Science & Technology,49,9,289-295
Water Science and Technology 31:11 (1995) 69-78 - F. Juttner - Physiology and biochemistry of odorous compounds from freshwater cyanobacteria and algae,Consumer,Selected,Juttner 1995,F. Juttner,1995,Physiology and biochemistry of odorous compounds from freshwater cyanobacteria and algae,Water Science and Technology,31,11,69-78
Water Science & Technology: Water Supply 13:4 (2013) 939-950 - V. Kanakoudis et al. - Assessing the performance of urban water networks across the EU Mediterranean area: The paradox of high NRW levels and absence of respective reduction measures,Customer,Selected,Kakoudis et al. 2013,V. Kakoudis,2013,Assessing the performance of urban water networks across the EU Mediterranean area: The paradox of high NRW levels and absence of respective reduction measures,Water Science and Technology: Water Supply,13,4,939-950
Water Supply 3:1-2 (2003) 433-440 - P. Karbowiak - Marketing a technical business,Customer,Selected,Karbowiak 2003,P. Karbowiak,2003,Marketing a technical business,Water Supply,3,1-2,443-440
Water Supply 3:1-2 (2003) 433-440 - P. Karbowiak - Marketing a technical business,Marketing,Selected,Karbowiak 2003,P. Karbowiak,2003,Marketing a technical business,Water Supply,3,1-2,443-440
Water Science & Technology 26:9-11 (1992) 2621-2624 - T. S. Katko - Cost Recovery in Water Services,Consumer,Selected,Katko 1992,T.S. Katko,1992,Cost Recovery in Water Services,Water Science & Technology,26,9-11,2621-2624
"P?nar Kavcar, Mustafa Odabasi, Mehmet Kitis, Fikret Inal, Sait C. Sofuoglu, Occurrence, oral exposure and risk assessment of volatile organic compounds in drinking water for ?zmir, Water Research, Volume 40, Issue 17, October 2006, Pages 3219-3230, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2006.07.002.",Consumer,Selected,Kavcar et al. 2006,P?nar Kavcar and Mustafa Odabasi and Mehmet Kiti and Fikret Inal and Sait C. Sofuoglu,2006,"Occurrence, oral exposure and risk assessment of volatile organic compounds in drinking water for ?zmir",Water Research,40,17,3219-3230
Journal of Water and Health 5:4 (2007) 523-538 - D. Kay et al. - The microbiological quality of seven large commercial private water supplies in the United Kingdom,Consumer,Selected,Kay et al. 2007,D. Kay,2007,The microbiological quality of seven large commercial private water supplies in the United Kingdom,Journal of Water and Health,5,4,523-538
J Water SRT - Aqua 53 (2004) 339-349 - Sam Kayaga et. al.: - Bill payment behaviour in urban water services: empirical data from Uganda,Customer,Selected,Kayaga et al. 2004,Sam Kayaga,2004,Bill payment behaviour in urban water services: empirical data from Uganda,"Journal of Water Supply, Research and Technology---Aqua",53,,339-349
Water Supply 6:2 (2006) 193-199 - H. Kitazawa - Keeping residual chlorine and decreasing unpleasant odor caused by disinfection of tap water,Customer,Selected,Kitazawa 2006,H. Kitazawa,2006,Keeping residual chlorine and decreasing unpleasant odor caused by disinfection of tap water,Water Supply,6,2,193-199
Water Science & Technology: Water Supply-WSTWS 9:5 (2009) 549-556 - S. Kjellberg et al. - The resuspension potential method: Yarra Valley water's novel approach to routine mains cleaning,Customer,Selected,Kjellberg et al. 2009,S. Kjellberg,2009,The resuspension potential method: Yarra Valley water's novel approach to routine mains cleaning,Water Science & Technology: Water Supply-WSTWS,9,5,549-556
"Emily Kumpel, Kara L. Nelson, Comparing microbial water quality in an intermittent and continuous piped water supply, Water Research, Volume 47, Issue 14, 15 September 2013, Pages 5176-5188, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2013.05.058.",Consumer,Selected,Kumpel and Nelson 2013,Emily Kumpel and Kara L. Nelson,2013,Comparing microbial water quality in an intermittent and continuous piped water supply,Water Research,47,14,5176-5188
Water Science and Technology 40:6 (1999) 135-140 - P. Levallois et al. - Evaluation of Consumer Attitudes on Taste and Tap Water Alternatives in Quebec?,Consumer,Selected,Levallois 1999,P. Levallois,1999,Evaluation of Consumer Attitudes on Taste and Tap Water Alternatives in Quebec?,Water Science and Technology,40,6,135-140
Water Practice & Technology 4:4 (2009) - R Liemberger - Water Loss Assessment and Remediation in South and Southeast Asia,Customer,Selected,Liemberger 2009,R. Liemberger,2009,Water Loss Assessment and Remediation in South and Southeast Asia,Water Practice & Technology,4,4,
"Andreas Lindhe, Lars Rosén, Tommy Norberg, Olof Bergstedt, Fault tree analysis for integrated and probabilistic risk analysis of drinking water systems, Water Research, Volume 43, Issue 6, April 2009, Pages 1641-1653, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2008.12.034.",Customer,Selected,Lindhe et al. 2009,Andreas Lindhe and Lars Rosén and Tommy Norberg and Olof Bergstedt,2009,Fault tree analysis for integrated and probabilistic risk analysis of drinking water systems,Water Research,43,6,1641-1653
"Andreas Lindhe, Lars Rosén, Tommy Norberg, Olof Bergstedt, Fault tree analysis for integrated and probabilistic risk analysis of drinking water systems, Water Research, Volume 43, Issue 6, April 2009, Pages 1641-1653, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2008.12.034.",Consumer,Selected,Lindhe et al. 2009,Andreas Lindhe and Lars Rosén and Tommy Norberg and Olof Bergstedt,2009,Fault tree analysis for integrated and probabilistic risk analysis of drinking water systems,Water Research,43,6,1641-1653
"Boning Liu, David A. Reckhow, Disparity in disinfection byproducts concentration between hot and cold tap water, Water Research, Volume 70, 1 March 2015, Pages 196-204, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2014.11.045.",Consumer,Selected,Liu and Reckhow 2015,Boning Liu and David A. Reckhow,2015,Disparity in disinfection byproducts concentration between hot and cold tap water,Water Research,70,,196-204
"Water Practice & Technology 8:2 (2013) - J. F. Loret, L. Cossalter, S. Robert, I. Baudin, M. Conan and P. Charles - Assessment and management of health risks related to the recycling of filter backwash water in drinking water production",Consumer,Selected,Loret et al. 2013,J. F. Loret and L. Cossalter and S. Robert and I. Baudin and M. Conan and P. Charles,2013,Assessment and management of health risks related to the recycling of filter backwash water in drinking water production,Water Practice & Technology,8,2,
Water Science & Technology: Water Supply 14:4 (2014) 618-625 - D. Loureiro et al. - A new approach to improve water loss control using smart metering data,Consumer,Selected,Loureiro et al. a 2014,D. Loureiro,2014,A new approach to improve water loss control using smart metering data,Water Science & Technology: Water Supply,14,4,618-625
Water Science & Technology: Water Supply 14:5 (2014) 898-908 - D. Loureiro et al. - Smart metering use cases to increase water and energy efficiency in water supply systems,Consumer,Selected,Loureiro et al. b 2014,D. Loureiro,2014,Smart metering use cases to increase water and energy efficiency in water supply systems,Water Science & Technology: Water Supply,14,5,898-908
Water Practice & Technology 5:1 (2010) - K.L. Lubout and K.L. Lubout - The Role of Water Boards in Water Safety Plan Implementation in South Africa,Consumer,Selected,Lubout 2010,K.L. Lubout and K.L. Lubout,2010,The Role of Water Boards in Water Safety Plan Implementation in South Africa,Water Practice & Technology,5,1,
Water Science & Technology: Water Supply 11:3 (2011) 288-296 - A. Lukas et al. - Supporting the Water Safety Plan (WSP) approach with the Failure Experience Improvement System (FEIS),Consumer,Selected,Lukas et al. 2011,A. Lukas,2011,Supporting the Water Safety Plan (WSP) approach with the Failure Experience Improvement System (FEIS),Water Science & Technology: Water Supply,11,3,288-296
J Water SRT - Aqua 52 (2003) 165-180 - Darren A. Lytle and Vernon L. Snoeyink - The effect of pH and dissolved inorganic carbon on the properties of iron colloidal suspensions,Consumer,Selected,Lytle and Snoeyink 2003,Darren A. Lytle and Vernon L. Snoeyink,2003,The effect of pH and dissolved inorganic carbon on the properties of iron colloidal suspensions,"Journal of Water Supply, Research and Technology---Aqua",52,,165-180
J Water SRT - Aqua 54 (2005) 267-281 - D. A. Lytle et al. - The effect of chloride and orthophosphate on the release of iron from a cast iron pipe section,Consumer,Selected,Lytle et al. 2005,D.A. Lytle,2005,The effect of chloride and orthophosphate on the release of iron from a cast iron pipe section,"Journal of Water Supply, Research and Technology---Aqua",54,,267-281
Water Science & Technology 49:9 (2004) 335-340 - E.D. Mackey et al. - Public thresholds for chlorinous flavors in U.S. tap water,Consumer,Selected,Mackey et al. 2004,E.D. Mackey,2004,Public thresholds for chlorinous flavors in U.S. tap water,Water Science & Technology,49,9,335-340
Water Science & Technology 49:9 (2004) 227-231 - M. Marchesan and J. Morran - Tastes associated with products in contact with drinking water,Consumer,Selected,Marchesan and Morran 2004,M. Marchesan and J. Morran,2004,Tastes associated with products in contact with drinking water,Water Science & Technology,49,9,227-231
"R.J. Martin, R.C. Shackleton, Comparison of two partially activated carbon fabrics for the removal of chlorine and other impurities from water, Water Research, Volume 24, Issue 4, April 1990, Pages 477-484, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(90)90232-U.",Marketing,Selected,Martin and Shackleton 1990,R.J. Martin and R.C. Shackleton,1990,Comparison of two partially activated carbon fabrics for the removal of chlorine and other impurities from water,Water Research,24,4,477-484
"Water Science & Technology 55:5 (2007) 209-216 - J. Martin-Alonso et al. - Managing an odour episode in Barcelona's water supply: strategies adopted, the causative agent (diacetyl) and determination of its organoleptic properties",Customer,Selected,Martín-Alonso et al. 2007,J. Martín-Alonso,2007,"Managing an odour episode in Barcelona's water supply: strategies adopted, the causative agent (diacetyl) and determination of its organoleptic properties",Water Science & Technology,55,5,209-216
Water Science & Technology: Water Supply 7:5-6 (2007) 43-51 - Y. Matsui et al. - Removal of geosmin and algae by ceramic membrane filtration with super-powdered activated carbon adsorption pretreatment,Consumer,Selected,Matsui et al. 2007a,Y. Matsui,2007,Removal of geosmin and algae by ceramic membrane filtration with super-powdered activated carbon adsorption pretreatment,Water Science & Technology: Water Supply,7,5-6,43-51
Journal of Water Supply: Research and Technology-AQUA 56:6?7 (2007) 411-418 - Yoshihiko Matsui et al. - Adsorptive removal of geosmin by ceramic membrane filtration with super-powdered activated carbon,Consumer,Selected,Matsui et al. 2007c,Yoshihiko Matsui,2007,Adsorptive removal of geosmin by ceramic membrane filtration with super-powdered activated carbon,"Journal of Water Supply, Research and Technology---Aqua",56,6-7,411-418
Water Science & Technology 54:11-12 (2006) 387-393 - A. May - The benefits of drinking water quality regulation - England and Wales,Consumer,Selected,May 2006,A. May,2006,The benefits of drinking water quality regulation - England and Wales,Water Science & Technology,54,11-12,387-393
Water Science & Technology-WST 60:10 (2009) 2493-2506 - S. McDonald et al. - Determination of odour threshold concentration ranges for some disinfectants and disinfection by-products for an Australian panel,Consumer,Selected,McDold et al. 2009,S. McDonald,2009,Determination of odour threshold concentration ranges for some disinfectants and disinfection by-products for an Australian panel,Water Science & Technology: WST,60,10,2493-2506
"Bridget McDowall, Daniel Hoefel, Gayle Newcombe, Christopher P. Saint, Lionel Ho, Enhancing the biofiltration of geosmin by seeding sand filter columns with a consortium of geosmin-degrading bacteria, Water Research, Volume 43, Issue 2, February 2009, Pages 433-440, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2008.10.044.",Consumer,Selected,McDowall et al. 2009,Bridget McDowall and Daniel Hoefel and Gayle Newcombe and Christopher P. Saint and Lionel Ho,2009,Enhancing the biofiltration of geosmin by seeding sand filter columns with a consortium of geosmin-degrading bacteria,Water Research,43,2,433-440
Water Science and Technology 31:11 (1995) 1-8 - Michael J. McGuire - Off-flavor as the consumer's measure of drinking water safety,Consumer,Selected,McGuire 1995,Michael J. McGuire,1995,Off-flavor as the consumer's measure of drinking water safety,Water Science and Technology,31,11,1-8
Water Science and Technology 31:11 (1995) 1-8 - Michael J. McGuire - Off-flavor as the consumer's measure of drinking water safety,Customer,Selected,McGuire 1995,Michael J. McGuire,1995,Off-flavor as the consumer's measure of drinking water safety,Water Science and Technology,31,11,1-8
Water Science & Technology 55:5 (2007) 275-282 - M.J. McGuire et al. - Use of flavour profile and consumer panels to determine differences between local water supplies and desalinated seawater,Consumer,Selected,McGuire et al. 2007,M.J. McGuire,2007,Use of flavour profile and consumer panels to determine differences between local water supplies and desalinated seawater,Water Science & Technology,55,5,275-282
Water Supply 3:3 (2003) 297-304 - R.S. Mckenzie and P.G. van Rooyen - Management of large water resource systems,Consumer,Selected,Mckenzie and van Rooyen 2003,R.S. Mckenzie and P.G. van Rooyen,2003,Management of large water resource systems,Water Supply,3,3,297-304
Water Supply 5:6 (2005) 225-233 - S.H.F.M. Meij et al. - Market-driven pricing structures for drinking water,Consumer,Selected,Meij et al. 2005,S.H.F.M. Meij,2005,Market-driven pricing structures for drinking water,Water Supply,5,6,225-233
Water Supply 5:6 (2005) 225-233 - S.H.F.M. Meij et al. - Market-driven pricing structures for drinking water,Customer,Selected,Meij et al. 2005,S.H.F.M. Meij,2005,Market-driven pricing structures for drinking water,Water Supply,5,6,225-233
Water Supply 5:6 (2005) 225-233 - S.H.F.M. Meij et al. - Market-driven pricing structures for drinking water,Marketing,Selected,Meij et al. 2005,S.H.F.M. Meij,2005,Market-driven pricing structures for drinking water,Water Supply,5,6,225-233
Water Policy 13:1 (2011) 38-52 - Roger Lee Mendoza - Fluoride-treated water and the problem of merit goods,Consumer,Selected,Mendoza 2011,Roger Lee Mendoza,2011,Fluoride-treated water and the problem of merit goods,Water Policy,13,1,38-52
Water Policy 13:1 (2011) 38-52 - Roger Lee Mendoza - Fluoride-treated water and the problem of merit goods,Customer,Selected,Mendoza 2011,Roger Lee Mendoza,2011,Fluoride-treated water and the problem of merit goods,Water Policy,13,1,38-52
Water Science & Technology: Water Supply 11:5 (2011) 596-604 - W. Merkel et al. - Structural conditions in German water supply,Customer,Selected,Merkel et al. 2011,W. Merkel,2011,Structural conditions in German water supply,Water Science & Technology: Water Supply,11,5,596-604
Water Supply 5:6 (2005) 183-188 - S. Metaxas and E. Charalambous - Residential price elasticity of demand for water,Consumer,Selected,Metaxas and Charalambous 2005,S. Metaxas and E. Charalambous,2005,Residential price elasticity of demand for water,Water Supply,5,6,183-188
Water Science & Technology 28:3-5 (1993) 65-68 - Michelle Miller - The Difficulties and Promise of an Interagency Public Information Campaign for Water Quality Issues,Consumer,Selected,Miller 1993,Michelle Miller,1993,The Difficulties and Promise of an Interagency Public Information Campaign for Water Quality Issues,Water Science & Technology,28,3-5,65-68
"M.N. Mons, M.B. Heringa, J. van Genderen, L.M. Puijker, W. Brand, C.J. van Leeuwen, P. Stoks, J.P. van der Hoek, D. van der Kooij, Use of the Threshold of Toxicological Concern (TTC) approach for deriving target values for drinking water contaminants, Water Research, Volume 47, Issue 4, 15 March 2013, Pages 1666-1678, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2012.12.025.",Customer,Selected,Mons et al. 2013,M.N. Mons and M.B. Heringa and J. van Genderen and L.M. Puijker and W. Brand and C.J. van Leeuwen and P. Stoks and J.P. van der Hoek and D. van der Kooij,2013,Use of the Threshold of Toxicological Concern (TTC) approach for deriving target values for drinking water contaminants,Water Research,47,4,1666-1678
Water Science & Technology 49:9 (2004) 69-74 - J. Morran and M. Marchesan - Taste and odour testing: how valuable is training?,Consumer,Selected,Morran and Marchesan 2004,J. Morran and M. Marchesan,2004,Taste and odour testing: how valuable is training?,Water Science & Technology,49,9,69-74
Water Science & Technology: Water Supply 11:2 (2011) 252-257 - A. A. Morvay et al. - Biofilm formation on materials commonly used in household drinking water systems,Consumer,Selected,Morvay et al. 2011,A.A. Morvay,2011,Biofilm formation on materials commonly used in household drinking water systems,Water Science & Technology: Water Supply,11,2,252-257
Water Science & Technology: Water Supply-WSTWS 10:3 (2010) 437-444 - S. R. Mounce and J. B. Boxall - Implementation of an on-line artificial intelligence district meter area flow meter data analysis system for abnormality detection: a case study,Customer,Selected,Mounce and Boxall 2010,S.R. Mounce and J.B. Boxall,2010,Implementation of an on-line artificial intelligence district meter area flow meter data analysis system for abnormality detection: a case study,Water Science & Technology: Water Supply-WSTWS,10,3,437-444
Water Science & Technology: Water Supply 12:5 (2012) 580-587 - Stephen Mounce et al. - Water quality event detection and customer complaint clustering analysis in distribution systems,Customer,Selected,Mounce et al. 2012,Stephe Mounce,2012,Water quality event detection and customer complaint clustering analysis in distribution systems,Water Science & Technology: Water Supply,12,5,580-587
Water Science & Technology: Water Supply 6:5 (2006) 17-25 - J. Mugabi and C. Njiru - Marketing urban water services: information needs for water utility managers in developing countries,Consumer,Selected,Mugabi and Njiru 2006,J. Mugabi and C. Njiru,2006,Marketing urban water services: information needs for water utility managers in developing countries,Water Science & Technology: Water Supply,6,5,17-25
Water Science & Technology: Water Supply 6:5 (2006) 17-25 - J. Mugabi and C. Njiru - Marketing urban water services: information needs for water utility managers in developing countries,Customer,Selected,Mugabi and Njiru 2006,J. Mugabi and C. Njiru,2006,Marketing urban water services: information needs for water utility managers in developing countries,Water Science & Technology: Water Supply,6,5,17-25
Water Science & Technology: Water Supply 6:5 (2006) 17-25 - J. Mugabi and C. Njiru - Marketing urban water services: information needs for water utility managers in developing countries,Marketing,Selected,Mugabi and Njiru 2006,J. Mugabi and C. Njiru,2006,Marketing urban water services: information needs for water utility managers in developing countries,Water Science & Technology: Water Supply,6,5,17-25
Water Policy 12:2 (2010) 220-236 - Josses Mugabi et al. - Determinants of customer decisions to pay utility water bills promptly,Customer,Selected,Mugabi et al. 2010,Josses Mugabi,2010,Determinants of customer decisions to pay utility water bills promptly,Water Policy,12,2,220-236
Water Policy 9:5 (2007) 475-491 - Silver Mugisha - Performance assessment and monitoring of water infrastructure: an empirical case study of benchmarking in Uganda,Customer,Selected,Mugisha 2007,Silver Mugisha,2007,Performance assessment and monitoring of water infrastructure: an empirical case study of benchmarking in Uganda,Water Policy,9,2,475-491
Water Supply 2:5-6 (2002) 149-155 - J. Mullenger et al. - A water authoritys experience with HACCP,Customer,Selected,Mullenger et al. 2002,J. Mullenger,2002,A water authoritys experience with HACCP,Water Supply,2,5-6,149-155
Water Science and Technology 31:11 (1995) 219-222 - S. Muramoto et al. - Effective removal of musty odor in the Kanamachi Purification Plant,Customer,Selected,Muramoto et al. 1995,S. Muramoto,1995,Effective removal of musty odor in the Kanamachi Purification Plant,Water Science and Technology,31,11,219-222
J Water SRT - Aqua 53 (2004) 573-580 - P. Nema et. al.: - Evaluation of water supply system infested with chironomus larvae,Consumer,Selected,Nema et al. 2004,P. Nema,2004,Evaluation of water supply system infested with chironomus larvae,"Journal of Water Supply, Research and Technology---Aqua",53,,573-580
"Water Practice & Technology 5:2 (2010) - Roman Neunteufel, Reinhard Perfler, Ernest Mayr, Heimo Theuretzbacher-Fritz and J?rg K?lbl - Benefits from Benchmarking - An Austrian Case Study",Consumer,Selected,Neunteufel et al. 2010,Roman Neunteufel and Reinhard Perfler and Ernest Mayr and Heimo Theuretzbacher-Fritz and J?rg K?lbl,2010,Benefits from Benchmarking - An Austrian Case Study,Water Practice & Technology,5,2,
J Water SRT - Aqua 51 (2002) 463-474 Gayle Newcombe and David Cook- Influences on the removal of tastes and odours by PAC,Consumer,Selected,Newcombe and Cook 2002,Gayle Newcombe and David Cook,2002,Influences on the removal of tastes and odours by PAC,"Journal of Water Supply, Research and Technology---Aqua",51,,673-474
Water Science & Technology 27:9 (1993) 47-53 - N. F. Nicholson - Sustainability of Water Supplies in Provincial Egypt,Consumer,Selected,Nicholson 1993,N.F. Nicholson,1993,Sustainability of Water Supplies in Provincial Egypt,Water Science & Technology,27,9,47-53
"Water Science & Technology: Water Supply 12:6 (2012) 747-754 - Colin Nicholson - Delivering an essential and sustainable water plan for Sydney, Australia",Customer,Selected,Nicholson 2012,Colin Nicholson,2012,"Delivering an essential and sustainable water plan for Sydney, Australia",Water Science & Technology: Water Supply,12,6,747-754
"Water Practice & Technology 8:3-4 (2013) - Stephen Nyende-Byakika, Julius M. Ndambuki and Gaddi Ngirane-Katashaya- Modelling of pressurised water supply networks that may exhibit transient low pressure ? open channel flow conditions",Consumer,Selected,Nyende-Byakikaa et al. 2013,Stephen Nyende-Byakika and Julius M. Ndambuki and Gaddi Ngirane-Katashaya,2013,Modelling of pressurised water supply networks that may exhibit transient low pressure ? open channel flow conditions,Water Practice & Technology,8,3-4,
Water Science & Technology: Water Supply 14:3 (2014) 405-413 - Y. Ohkouchi et al. - Chlorine requirement for biologically stable drinking water after nanofiltration,Consumer,Selected,Ohkouchi et al. 2013,Y. Ohkouchi,2013,Chlorine requirement for biologically stable drinking water after nanofiltration,Water Science & Technology: Water Supply,14,3,405-413
"P?nar Ömür-Özbek, Andrea M. Dietrich, Developing hexanal as an odor reference standard for sensory analysis of drinking water, Water Research, Volume 42, Issues 10–11, May 2008, Pages 2598-2604, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2008.01.010.",Consumer,Selected,Omur-Ozbek and Dietrich 2008,P?nar Ömür-Özbek and Andrea M. Dietrich,2008,Developing hexanal as an odor reference standard for sensory analysis of drinking water,Water Research,42,10-11,2598-2604
"Water Science & Technology 55:5 (2007) 249-256 - P. Omur-Ozbek et al. - Ability of humans to smell geosmin, 2-MIB and nonadienal in indoor air when using contaminated drinking water",Customer,Selected,Omur-Ozbek et al. 2007,P. Omur-Ozbek,2007,"Ability of humans to smell geosmin, 2-MIB and nonadienal in indoor air when using contaminated drinking water",Water Science & Technology,55,5,249-256
"Water Science and Technology 39:10-11 (1999) 183-188 - A. J. Owen et al. - Risk communication of hazardous processes associated with drinking water quality - a mental models approach to customer perception, part 1 - a methodology",Customer,Selected,Owen et al. 1999,A.J. Owen,1999,"Risk communication of hazardous processes associated with drinking water quality - a mental models approach to customer perception, part 1 - a methodology",Water Science & Technology,39,10-11,183-188
Water Policy 5:4 (2003) 313-329 - Ben Page - Has widening participation in decision-making influenced water policy in the UK?,Consumer,Selected,Page 2003,Ben Page,2003,Has widening participation in decision-making influenced water policy in the UK?,Water Policy,5,,313-329
Water Supply 5:6 (2005) 53-56 - R. Parena - Deciding now what we want to be tomorrow as a key way of speeding the water business change,Customer,Selected,Parena 2005,R. Parena,2005,Deciding now what we want to be tomorrow as a key way of speeding the water business change,Water Supply,5,6,53-56
Water Science & Technology 44:2-3 (2001) 103-110 - R. Parena and E. Smeets - Benchmarking initiatives in the water industry,Customer,Selected,Parena and Smeets 2001,R. Parena and E. Smeets,2001,Benchmarking initiatives in the water industry,Water Science & Technology,44,2-3,53-56
"Julien Parinet, Manuel J. Rodriguez, Jean Sérodes, Influence of water quality on the presence of off-flavour compounds (geosmin and 2-methylisoborneol), Water Research, Volume 44, Issue 20, December 2010, Pages 5847-5856, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2010.06.070.",Consumer,Selected,Parinet et al. 2010,Julien Parinet and Manuel J. Rodriguez and Jean Sérodes,2010,Influence of water quality on the presence of off-flavour compounds (geosmin and 2-methylisoborneol),Water Research,44,20,5847-5856
